BN,FPE,Form ID,200,210,220,230,240,250,260
103372413RR0001,2021-08-31,25,,N,N,,Y,N,N
802439513RR0001,2021-04-30,25,,N,N,,N,Y,N
846270841RR0001,2021-07-31,25,12800,Y,N,,N,Y,N
789483070RR0001,2021-12-31,25,9000,Y,N,,N,N,N
806264735RR0001,2021-07-31,25,0,N,N,,N,Y,N
851024000RR0001,2021-12-31,25,74572,Y,N,,N,Y,Y
804298248RR0001,2021-07-31,25,180830,N,N,,Y,N,N
809197205RR0001,2021-09-30,25,0,N,N,,N,N,N
889084364RR0001,2021-12-31,25,4998,Y,N,,N,N,N
710477878RR0001,2021-12-31,25,3316,Y,N,,N,Y,N
831575477RR0001,2021-12-31,25,24986,Y,N,,N,N,N
118813112RR0001,2021-12-31,25,2820,N,N,,N,N,N
118796150RR0001,2021-09-30,25,48698,Y,N,,Y,N,N
836060954RR0001,2021-07-15,23,18601,N,N,,N,Y,N
890237175RR0001,2021-12-31,25,3506,,N,,N,N,N
869198200RR0001,2021-07-31,25,202164,Y,N,,N,N,N
890561798RR0001,2021-12-31,25,46900,Y,N,,N,N,N
843218249RR0001,2021-06-30,25,271489,Y,N,,N,N,N
845850858RR0001,2021-08-31,24,,,,,,,
840286769RR0001,2021-08-31,25,65418,Y,N,,N,Y,N
107630931RR0001,2021-06-30,25,23512,Y,N,,N,N,N
803725456RR0001,2021-07-31,25,361169,Y,N,,N,N,N
865347405RR0001,2021-07-31,25,10859,N,N,,N,N,N
816151658RR0001,2021-12-31,25,9086,Y,N,,N,,Y
892537952RR0001,2021-07-31,25,27344,N,N,,N,Y,N
849587175RR0001,2021-12-31,25,312166,N,N,,N,Y,Y
789117488RR0001,2021-08-31,25,34932,Y,N,,N,N,N
894110469RR0001,2021-07-31,25,2684875,Y,N,,Y,Y,N
118839679RR0001,2021-07-31,25,548108,Y,Y,203087,N,Y,N
120518857RR0001,2021-08-31,25,,N,N,,N,N,N
898326178RR0001,2021-12-31,25,56346,Y,N,,N,N,N
864233358RR0001,2021-11-30,25,25150,Y,N,,N,Y,N
899512206RR0001,2021-12-31,25,2955,Y,N,,N,N,N
890359045RR0001,2021-12-31,25,7454,N,N,,N,N,N
752753897RR0001,2021-07-31,25,13217,Y,N,,N,N,N
106923188RR0001,2021-12-31,25,23100,Y,N,,N,N,N
861232890RR0001,2021-08-31,25,586168,Y,N,,Y,Y,N
898640719RR0001,2021-12-31,25,40000,Y,N,,Y,N,N
875225401RR0001,2021-07-31,25,17155,Y,N,,N,Y,Y
899419071RR0001,2021-06-30,25,,Y,N,,N,N,N
847168960RR0001,2021-07-31,25,125055,Y,N,,Y,Y,N
119205367RR0001,2021-06-30,25,1700,Y,N,,N,N,N
887658599RR0001,2021-12-31,25,7103,Y,N,,N,Y,N
820014751RR0001,2021-12-31,25,2100,N,N,,N,Y,N
139820955RR0001,2021-08-31,25,5150,N,N,,N,N,N
119092906RR0001,2021-12-31,25,8160,Y,N,,N,Y,N
107503617RR0001,2021-12-31,25,68460,Y,N,,N,Y,N
119037513RR0001,2021-12-31,25,5296,Y,N,,N,N,N
872116496RR0001,2021-12-31,25,28579,N,N,,Y,N,N
106983935RR0001,2021-07-31,25,6030,N,N,,Y,Y,N
118803410RR0001,2021-12-31,25,1768,,N,,N,N,N
835059270RR0001,2021-12-31,25,173061,Y,N,,Y,Y,N
133037986RR0001,2021-12-31,25,448073,Y,N,,Y,Y,N
834998965RR0001,2021-07-31,25,8895712,Y,N,,N,Y,N
879780724RR0001,2021-12-31,25,,Y,N,,N,N,N
891452195RR0001,2021-09-30,25,,N,N,,N,N,N
890767544RR0001,2021-12-31,25,24015,Y,N,,N,N,N
857570303RR0001,2021-12-31,25,423078,Y,N,,N,N,N
890030927RR0001,2021-07-31,25,88686,Y,N,,N,N,N
726245137RR0001,2021-12-31,25,18643,Y,N,,N,N,N
847418076RR0001,2021-12-31,25,2114,Y,N,,N,N,N
724443718RR0001,2021-09-30,25,61936,Y,N,,N,N,N
823140611RR0001,2021-12-31,25,5000,N,N,,N,Y,
883689218RR0001,2021-12-31,25,10050,N,N,,N,N,N
891460362RR0001,2021-08-31,25,29453,Y,N,,N,Y,N
118849728RR0001,2021-12-31,25,195438,Y,N,,N,Y,N
118856889RR0001,2021-12-31,25,62766,Y,N,,N,N,N
840740955RR0001,2021-12-31,25,60480,Y,N,,N,N,N
129029914RR0001,2021-07-31,25,602277,Y,N,,Y,N,N
812816825RR0001,2021-08-31,25,,N,N,,N,Y,N
889454617RR0001,2021-12-31,25,364723,Y,N,,N,Y,N
107601593RR0001,2021-08-31,25,962109,Y,N,,Y,Y,Y
824454847RR0001,2021-12-31,25,,Y,N,,N,N,N
839003175RR0001,2021-07-31,25,2243,N,N,,N,Y,N
118815976RR0001,2021-09-30,25,35000,Y,N,,N,Y,N
836906040RR0001,2021-12-31,25,35000,N,N,,Y,Y,N
897377065RR0001,2021-08-31,25,21341,N,N,,N,N,N
890074644RR0001,2021-07-31,25,,Y,N,,N,N,N
124781238RR0001,2021-07-31,25,9000,N,N,,N,N,N
890963416RR0001,2021-07-31,25,312497,Y,N,,Y,N,N
119264174RR0022,2021-12-31,25,500,N,N,,N,N,N
118859834RR0001,2021-07-31,25,18528,Y,N,,N,N,N
840712459RR0001,2021-12-31,25,50937,N,N,,N,Y,N
118813088RR0001,2021-07-31,24,10088,,N,,N,Y,N
108013863RR0001,2021-12-31,25,2790,N,N,,N,N,N
846320141RR0001,2021-12-31,25,18342,Y,N,,N,N,N
878676014RR0001,2021-06-30,23,2002,Y,N,,N,Y,N
107616732RR0001,2021-08-31,25,,N,N,,N,Y,N
805825916RR0001,2021-12-31,25,5178,N,N,,N,Y,Y
868015546RR0001,2021-12-31,25,15218,Y,N,,N,N,N
118940089RR0001,2021-07-31,25,3300,Y,N,,N,N,N
866403421RR0001,2021-07-31,25,1740,Y,N,,Y,N,N
105220859RR0001,2021-08-31,25,21000,N,N,,N,N,N
889795175RR0001,2021-07-31,25,115298,N,N,,N,Y,N
119273332RR0001,2021-12-31,25,,N,N,,N,N,N
863489142RR0001,2021-12-31,25,6854,Y,N,,N,N,N
845021005RR0001,2021-12-31,25,,N,N,,N,N,N
889405064RR0001,2021-08-31,24,471548,Y,N,,N,N,N
858721004RR0001,2021-07-31,24,8440,Y,N,,N,N,N
118807494RR0001,2021-12-31,25,39245,N,N,,Y,Y,N
118899368RR0001,2021-12-31,25,32053,Y,N,,N,N,N
119113116RR0001,2021-08-31,25,13581,Y,N,,N,N,N
118990225RR0001,2021-08-31,25,103131,Y,N,,N,N,N
119110450RR0010,2021-12-31,25,,N,N,,N,N,N
130637051RR0001,2021-08-31,23,,N,N,,N,N,N
881299929RR0001,2021-05-31,25,29866,Y,N,,N,Y,Y
106960610RR0001,2021-08-31,25,2525,N,N,,N,Y,N
888362449RR0001,2021-12-31,25,131652,Y,N,,N,N,N
119155661RR0001,2021-08-31,25,170830,Y,N,,N,N,N
889459970RR0001,2021-06-30,25,1068103,Y,N,,N,Y,N
132121997RR0001,2021-12-31,25,2154,N,N,,N,N,N
799285895RR0001,2021-12-31,25,5197,Y,N,,N,N,N
888705449RR0001,2021-12-31,25,1875,N,N,,N,Y,N
821158524RR0001,2021-06-30,24,,N,N,,N,N,N
848399267RR0001,2021-12-31,25,15489,Y,N,,N,N,N
872922612RR0001,2021-03-31,25,10000,Y,N,,N,N,N
848917720RR0001,2021-12-31,25,43431,N,N,,N,N,N
890796196RR0001,2021-12-31,25,4771,Y,N,,N,Y,N
119273381RR0001,2021-08-31,25,1797841,Y,N,,Y,Y,N
831616982RR0001,2021-06-30,25,23821,Y,N,,N,Y,N
119160828RR0001,2021-08-31,25,52750,N,N,,Y,Y,N
803408814RR0001,2021-09-30,25,5545,Y,N,,N,Y,N
119265726RR0001,2021-08-31,25,68820,Y,N,,N,N,N
886571058RR0001,2021-12-31,25,32008,N,N,,N,Y,N
854708963RR0001,2021-12-31,25,91946,N,N,,N,N,N
864005749RR0001,2021-12-31,25,36603,Y,N,,N,N,N
818673006RR0001,2021-08-31,25,321978,N,N,,N,Y,N
831110473RR0001,2021-06-30,25,2283508,Y,N,,N,N,N
878840800RR0001,2021-08-31,25,850,N,N,,N,Y,N
106984396RR0001,2021-08-31,25,20333,Y,N,,N,N,N
898136569RR0001,2021-12-31,25,7565,N,N,,N,N,N
795169887RR0001,2021-12-31,25,36089,Y,N,,N,N,N
887858660RR0001,2021-05-31,25,97573,Y,N,,N,Y,N
729196493RR0001,2021-07-31,25,174,Y,,,,,
810826917RR0001,2021-07-31,25,10970,Y,N,,N,N,N
119069714RR0001,2021-12-31,25,166080,Y,N,,N,N,N
118944297RR0001,2021-12-31,25,1000,N,N,,N,N,N
865592760RR0001,2021-12-31,25,,Y,,,,,
129670485RR0001,2021-08-31,25,7740,Y,N,,N,N,N
809332364RR0001,2021-07-31,25,,N,N,,N,N,N
868088170RR0001,2021-12-31,25,33642,N,N,,N,N,N
826471088RR0001,2021-12-31,23,128550,Y,N,,N,Y,N
141673699RR0001,2021-06-30,25,54017,N,N,,Y,Y,N
803766971RR0001,2021-03-31,25,4913,Y,N,,N,N,N
107396905RR0040,2021-12-31,25,0,N,N,,N,N,N
131135808RR0001,2021-08-31,25,136735,Y,N,,N,N,N
723700530RR0002,2021-08-31,25,26002,Y,N,,N,N,N
811037696RR0001,2021-08-31,25,65541,Y,N,,N,N,N
136529187RR0001,2021-12-31,25,4350,N,N,,Y,Y,N
137518502RR0001,2021-12-31,25,,N,N,,N,N,N
107436636RR0001,2021-08-31,25,0,Y,N,,N,N,N
890004591RR0001,2021-12-31,25,477482,Y,N,,N,N,N
118873652RR0001,2021-12-31,25,145717,N,N,,N,Y,N
878783711RR0001,2021-07-31,25,,N,,,,,
892312836RR0001,2021-12-31,25,,N,N,,N,N,N
107408536RR0001,2021-09-30,25,104811,Y,N,,Y,Y,N
896482528RR0001,2021-12-31,25,6819,Y,N,,N,Y,N
801881111RR0001,2021-12-31,25,1200,Y,,,Y,Y,N
119288918RR0001,2021-08-31,25,10873750,Y,N,,N,N,Y
888032661RR0001,2021-12-31,25,15900,Y,N,,N,N,N
847439304RR0001,2021-09-30,25,171206,Y,N,,N,Y,N
841686967RR0001,2021-12-31,25,6607,N,N,,N,Y,N
845687623RR0001,2021-05-31,25,0,N,N,,N,N,N
714913670RR0001,2021-12-31,25,4776,Y,N,,Y,N,N
892712993RR0001,2021-12-31,25,6133,N,N,,N,Y,N
847079563RR0001,2021-02-28,25,31042,N,N,,N,Y,N
108192915RR0001,2021-12-31,25,17000,Y,N,,N,N,N
894813781RR0001,2021-12-31,25,9094,Y,N,,N,N,N
841769284RR0001,2021-08-31,25,109652,Y,N,,N,N,N
134112432RR0001,2021-12-31,25,10560,Y,N,,N,N,N
886765304RR0001,2021-08-31,25,73053,N,N,,N,N,N
118882208RR0001,2021-08-31,25,29519,Y,N,,N,N,N
132071606RR0002,2021-12-31,25,640,Y,N,,N,N,N
861938736RR0001,2021-08-31,25,8500,Y,N,,N,N,N
897337150RR0001,2021-03-31,25,53836,Y,N,,N,N,N
130353592RR0001,2021-12-31,25,6837,N,N,,N,N,N
842167512RR0001,2021-08-31,25,25439,N,N,,N,Y,N
885404848RR0001,2021-12-31,25,76082,N,N,,N,N,N
119211100RR0001,2021-08-31,25,,N,N,,N,N,Y
869273706RR0001,2021-05-31,25,,N,N,,N,N,N
137656617RR0001,2021-03-31,25,76764,N,N,,N,N,N
106789910RR0001,2021-12-31,25,1800,N,N,,N,N,N
132410671RR0184,2021-12-31,25,800,Y,N,,N,N,N
825575954RR0001,2021-09-30,25,,N,N,,N,Y,N
107724478RR0001,2021-08-31,25,,Y,N,5242,N,N,N
119251791RR0001,2021-12-31,25,4691,N,N,,N,N,N
869563213RR0001,2021-06-30,25,213483,Y,N,,Y,N,N
119296549RR0001,2021-12-31,25,18930,Y,N,,N,N,N
866626385RR0001,2021-07-31,25,,Y,N,,N,N,Y
118833409RR0001,2021-08-31,25,,N,N,,N,N,N
832467278RR0001,2021-09-30,25,62000,Y,N,,N,N,N
107304446RR0001,2021-08-31,25,710087,Y,N,,Y,Y,N
894527464RR0001,2021-08-31,25,9069,N,N,,N,N,N
132410671RR0119,2021-12-31,25,2000,N,N,,N,N,N
853345247RR0001,2021-12-31,25,33025,N,N,,N,Y,N
119196111RR0001,2021-12-31,25,,N,N,,N,Y,N
106800220RR0001,2021-12-31,25,47803,N,N,,Y,N,N
866327109RR0001,2021-12-31,25,1864,Y,N,,N,N,Y
871282844RR0001,2021-12-31,25,1745,Y,N,,N,Y,N
867293912RR0001,2021-08-31,25,,N,N,,N,N,N
119285542RR0001,2021-12-31,25,19168,Y,N,,N,N,N
806516852RR0001,2021-09-30,25,22301,Y,N,,N,N,N
890804198RR0001,2021-05-31,23,29000,Y,,,,,
837113166RR0001,2021-06-30,25,,Y,N,,N,N,N
709741870RR0001,2021-08-31,25,32580,N,N,,N,Y,N
119113660RR0001,2021-12-31,25,7147,Y,N,,N,N,N
118832625RR0001,2021-08-31,25,163000,Y,Y,,,,
815450879RR0001,2021-12-31,25,17951,Y,N,,N,Y,N
775258932RR0001,2021-09-30,25,65079,Y,N,,N,Y,N
134883842RR0001,2021-06-30,25,28346,Y,N,,N,Y,N
120843149RR0001,2021-07-31,25,59279,Y,N,,N,N,N
119300531RR0001,2021-06-30,25,1950,Y,N,,N,N,N
108084658RR0096,2021-12-31,25,3550,Y,N,,N,N,N
879392108RR0001,2021-12-31,25,2893496,Y,N,,N,Y,N
839145414RR0001,2021-09-30,25,89494,N,N,,N,Y,N
823034145RR0001,2021-03-31,25,,N,,,,,
837367077RR0001,2021-06-30,25,,,N,,N,Y,Y
108082025RR0001,2021-08-31,25,3187236,Y,N,,Y,Y,N
119126274RR0001,2021-12-31,25,46,N,N,,N,N,N
833736580RR0001,2021-12-31,25,2154,Y,N,,N,N,
118890664RR0001,2021-08-31,25,102762,Y,N,,N,N,N
889494001RR0001,2021-12-31,25,124520,Y,N,,N,N,N
118791672RR0001,2021-12-31,25,365159,Y,N,,N,N,N
866550106RR0001,2021-12-31,25,77525,Y,N,,N,N,N
127756716RR0001,2021-08-31,25,14100,Y,N,,N,N,N
107572596RR0001,2021-12-31,25,1500,N,N,,N,N,N
826373474RR0001,2021-08-31,25,152400,N,N,,Y,Y,N
852047497RR0001,2021-12-31,25,3000,Y,N,,N,N,N
800472714RR0001,2021-08-31,25,7496,N,N,,N,Y,N
831683073RR0001,2021-08-31,25,8557,Y,N,,N,N,N
813337987RR0001,2021-08-31,25,0,N,N,,N,Y,N
888700069RR0001,2021-06-30,25,72000,Y,N,,N,Y,N
108203142RR0001,2021-08-31,25,440,N,N,,Y,N,N
789550092RR0001,2021-12-31,25,14400,Y,N,,N,Y,N
842894057RR0001,2021-09-30,25,92288,Y,N,,N,Y,N
778557116RR0001,2021-09-30,25,25446,Y,N,,N,Y,N
118829902RR0001,2021-08-31,25,9066345,Y,Y,2950520,N,N,N
800861932RR0001,2021-08-31,25,10070,N,N,,N,Y,N
899214902RR0001,2021-12-31,25,121221,N,N,,Y,Y,N
842073033RR0001,2021-08-31,25,9750,Y,N,,N,N,N
130132715RR0001,2021-08-31,25,36026,Y,N,,N,N,N
866437809RR0001,2021-12-31,25,16174,N,N,,N,Y,N
833104359RR0001,2021-09-30,25,,Y,N,,Y,Y,N
118802016RR0001,2021-12-31,25,3305,Y,N,,N,N,N
119053999RR0001,2021-06-30,25,,N,N,,N,N,N
896612678RR0001,2021-12-31,25,1240,N,N,,N,N,N
890334840RR0001,2021-12-31,25,107960,Y,N,,N,N,N
119019867RR0001,2021-08-31,25,318550,Y,N,,N,Y,N
119151330RR0001,2021-08-31,25,87974,Y,N,,N,N,N
106993926RR0001,2021-08-31,25,291778,Y,N,,N,Y,N
860497312RR0001,2021-07-31,25,177260,N,N,,Y,N,N
839138708RR0001,2021-12-31,25,18540,Y,N,,N,Y,N
887718203RR0001,2021-08-31,25,881479,Y,Y,369841,Y,N,N
822174140RR0001,2021-12-31,25,25800,Y,N,,N,N,N
812210615RR0001,2021-12-31,25,60286,Y,N,,N,N,N
888564663RR0001,2021-12-31,25,35530,Y,N,,N,N,N
866060189RR0001,2021-09-30,25,14607,N,N,,N,N,Y
132193483RR0001,2021-12-31,25,168707,Y,N,,N,N,N
819075557RR0001,2021-12-31,25,697449,Y,N,,Y,Y,N
868714684RR0001,2021-12-31,25,10800,N,N,,N,N,N
867652414RR0001,2021-12-31,25,600,N,N,,N,N,Y
108089871RR0001,2021-08-31,25,1195574,Y,N,,Y,Y,N
118871441RR0001,2021-08-31,25,,Y,N,,N,N,N
118988005RR0001,2021-12-31,25,,N,N,,N,N,Y
881692818RR0001,2021-12-31,25,511,Y,N,,N,N,N
753629294RR0001,2021-08-31,25,24259,N,N,,Y,Y,N
118846823RR0001,2021-12-31,25,,Y,N,,N,N,N
896210978RR0001,2021-12-31,25,,N,N,,N,Y,N
836244210RR0001,2021-08-31,25,,,N,,N,Y,N
878110519RR0001,2021-12-31,25,17077,Y,N,,N,Y,N
886425909RR0001,2021-12-31,25,,Y,N,,N,Y,N
893003053RR0001,2021-08-31,25,6365,N,N,,N,Y,N
805439916RR0001,2021-12-31,25,223034,Y,N,,N,N,N
119122901RR0001,2021-12-31,25,9000,Y,N,,N,N,N
851583542RR0001,2021-12-31,25,2762,N,N,,N,Y,Y
118879287RR0001,2021-12-31,25,6934,Y,N,,N,N,N
728288317RR0001,2021-12-31,25,,Y,N,,Y,N,N
119068831RR0001,2021-12-31,25,8420,Y,N,,N,Y,N
737660316RR0001,2021-08-31,25,3095,N,N,,N,Y,Y
883241630RR0001,2021-08-31,25,58912,Y,N,,N,N,N
891873960RR0001,2021-08-31,25,114550,Y,N,,N,N,N
107880163RR0001,2021-03-31,25,623,N,N,,Y,N,N
832518211RR0001,2021-12-31,25,154745,N,N,,N,Y,N
119092369RR0001,2021-08-31,25,226500,Y,N,,N,N,N
887099992RR0001,2021-08-31,25,517800,Y,N,,N,N,N
108031394RR0001,2021-12-31,25,6120,Y,N,,N,N,N
789247491RR0001,2021-12-31,25,411,N,N,,N,N,N
835083379RR0001,2021-08-31,24,113987,N,N,,N,N,N
843836289RR0001,2021-12-31,25,16550,N,N,,N,N,Y
118955921RR0001,2021-03-31,25,367155,Y,N,,N,N,N
840496350RR0001,2021-10-31,25,101121,N,N,,N,Y,N
837968569RR0001,2021-09-30,25,8850,Y,N,,N,Y,N
860293190RR0001,2021-08-31,25,426793,Y,N,,N,Y,N
130576291RR0001,2021-08-31,25,1402,N,N,,Y,Y,N
829025352RR0001,2021-12-31,25,193300,Y,N,,N,N,N
893060178RR0001,2021-12-31,25,,Y,,,,,
864105457RR0001,2021-12-31,25,16662,Y,N,,N,N,N
843984311RR0001,2021-12-31,25,24317,N,N,,N,N,N
839049897RR0001,2021-08-31,25,9863,Y,N,,N,N,N
897630521RR0001,2021-12-31,25,17600,Y,N,,N,N,N
139029243RR0001,2021-12-31,25,131960,N,N,,Y,N,N
107354995RR0001,2021-08-31,25,68230,N,N,,Y,Y,N
849450168RR0001,2021-08-31,25,157041,Y,N,,N,Y,N
118939164RR0001,2021-12-31,25,199587,Y,N,,N,N,N
862098415RR0001,2021-12-31,25,,Y,N,,N,N,N
825149834RR0001,2021-08-30,25,639041,N,N,,Y,Y,N
709453096RR0001,2021-08-31,25,1000,Y,N,,N,Y,Y
118803733RR0001,2021-12-31,25,3600,N,N,,N,N,N
864412614RR0001,2021-08-31,25,,N,N,,N,N,N
860858075RR0001,2021-08-31,25,,N,N,,N,Y,N
762898070RR0001,2021-12-31,23,,N,N,,,,
119108942RR0001,2021-08-31,25,131804,N,N,,Y,Y,Y
119017275RR0001,2021-08-31,25,,N,N,,N,Y,N
119307197RR0001,2021-08-31,25,16700,Y,N,,N,N,N
131515025RR0001,2021-12-31,25,1330,N,N,,N,N,N
130638448RR0001,2021-12-31,25,25390,Y,N,,N,Y,N
832761399RR0001,2021-12-31,25,,N,N,,N,Y,N
862784238RR0001,2021-08-31,25,111000,N,N,,N,Y,N
822617825RR0001,2021-12-31,25,15628,N,N,,N,N,N
129462693RR0001,2021-08-31,25,752210,Y,N,,N,N,N
894849041RR0001,2021-08-31,25,,N,N,,N,N,N
892748054RR0001,2021-08-31,25,89,N,N,,,,
106846942RR0001,2021-08-31,25,,N,N,,N,N,Y
119069078RR0001,2021-03-31,25,1536984,N,Y,1487746,Y,Y,N
118940428RR0001,2021-08-31,25,1600705,N,N,,Y,N,N
888466927RR0001,2021-08-31,25,42105,N,N,,N,N,N
119016640RR0001,2021-12-31,25,250461,Y,N,,N,Y,N
850587064RR0001,2021-12-31,25,,N,N,,N,Y,N
820082006RR0001,2021-08-31,25,9414,Y,N,,N,N,N
896434818RR0001,2021-08-31,25,171654,Y,N,,Y,N,N
854699790RR0001,2021-09-30,25,,N,N,,N,N,N
118899285RR0001,2021-09-30,25,11370,Y,N,,N,N,N
891580144RR0001,2021-08-31,25,6000,Y,N,,N,N,N
890127673RR0001,2021-08-31,25,85686,Y,Y,38481,N,N,N
873440846RR0001,2021-11-30,25,53271,Y,N,,N,Y,N
887403830RR0001,2021-12-31,25,,Y,N,,N,N,N
118832559RR0001,2021-12-31,25,10629,Y,N,,N,N,N
892774365RR0001,2021-12-31,25,11372,N,N,,N,N,N
705085314RR0001,2021-12-31,25,40147,N,N,,N,Y,N
106832504RR0001,2021-12-31,25,0,N,N,,N,N,N
898221973RR0001,2021-09-30,25,60000,Y,N,,N,Y,N
871125621RR0001,2021-12-31,25,,N,N,,N,Y,N
771353091RR0001,2021-12-31,25,3695,Y,N,,N,N,N
118841840RR0001,2021-12-31,25,3520,Y,N,,N,N,N
866185655RR0001,2021-09-30,25,53067,N,N,,N,Y,N
118832922RR0001,2021-12-31,25,,Y,N,,N,N,N
775687270RR0001,2021-12-31,25,45833,N,N,,Y,Y,N
869304600RR0001,2021-10-31,25,1000,N,N,,N,N,N
893193185RR0001,2021-12-31,25,106582,N,N,,N,Y,N
738367085RR0001,2021-12-31,25,20000,N,N,,N,N,N
119031524RR0001,2021-09-30,25,9475575,Y,N,,N,N,Y
107441958RR0001,2021-12-31,25,569690,N,N,,N,Y,N
830748877RR0001,2021-12-31,25,19178,N,N,,Y,Y,N
119197283RR0001,2021-12-31,25,20393,Y,N,,N,N,N
107817082RR0001,2021-09-30,25,2974306,Y,Y,636455,Y,Y,N
742165079RR0001,2021-12-31,25,53247,Y,N,,N,N,N
118859743RR0001,2021-12-31,25,15491,N,N,,N,N,N
845989334RR0001,2021-12-31,25,8717,N,N,,N,N,N
867363467RR0001,2021-12-31,25,,Y,N,,N,N,N
889849998RR0001,2021-12-31,25,1387,Y,N,,N,N,N
129835872RR0001,2021-06-30,25,63570,Y,N,,N,N,N
823830849RR0001,2021-12-31,25,33263,Y,N,,N,N,Y
869628644RR0001,2021-12-31,25,14715,Y,N,,N,Y,N
107010886RR0001,2021-12-31,25,372,N,N,,N,N,N
771608478RR0001,2021-12-31,25,35923,N,N,,Y,Y,Y
896362365RR0001,2021-12-31,25,3431,Y,N,,N,N,N
134344787RR0001,2021-12-31,24,145698,N,N,,N,Y,N
129942561RR0001,2021-09-30,25,3586990,Y,N,,Y,Y,N
722732922RR0001,2021-12-31,25,3349028,Y,N,,N,Y,Y
833349491RR0001,2021-06-30,25,52985,Y,N,,N,Y,N
132152893RR0001,2021-09-30,25,4175598,Y,N,,Y,N,Y
890511249RR0001,2021-11-30,25,40000,Y,N,,N,Y,N
840328488RR0001,2021-12-31,25,21758,Y,N,,N,Y,N
813870334RR0001,2021-09-30,25,94411,Y,N,,N,Y,N
820387140RR0001,2021-09-25,25,122660,Y,N,,N,N,N
889320669RR0001,2021-12-31,25,7495,Y,N,,N,N,N
871452348RR0001,2021-12-31,25,3705,Y,N,,N,N,N
106845969RR0001,2021-09-30,25,35000,Y,N,,N,N,N
861404135RR0001,2021-12-31,25,156657,N,N,,N,Y,N
839350766RR0001,2021-12-31,25,4925,N,N,,N,Y,N
840164818RR0001,2021-12-31,25,10000,N,N,,N,Y,N
108040056RR0001,2021-12-31,25,6555,N,N,,N,N,N
891039646RR0001,2021-12-31,25,4500,Y,N,,N,N,N
107834863RR0001,2021-07-31,25,43509,N,N,,Y,Y,N
119267458RR0001,2021-12-31,25,1085,Y,N,,N,N,N
893021964RR0001,2021-12-31,25,6560,N,,,,,
886708395RR0001,2021-12-31,25,154322,Y,N,,N,N,N
845731884RR0001,2021-09-30,24,25152,Y,N,,N,Y,N
759951130RR0001,2021-12-31,25,16895,Y,N,,N,N,N
838470508RR0001,2021-07-31,25,,N,N,,N,N,N
129780508RR0001,2021-08-31,25,119966,Y,N,,Y,N,N
119144111RR0001,2021-12-31,25,25582,Y,N,,N,N,N
118986686RR0001,2021-12-31,25,553,Y,N,,N,N,N
834225963RR0001,2021-10-31,25,63963,N,N,,N,Y,N
118789452RR0001,2021-12-31,25,5762,N,N,,N,N,N
118914407RR0001,2021-12-31,25,1035,Y,N,,N,Y,N
840542286RR0001,2021-12-31,25,58013,Y,N,,N,Y,N
753597087RR0001,2021-12-31,25,437,N,N,,N,N,N
727429698RR0001,2021-12-31,25,,N,N,,N,Y,N
118837798RR0001,2021-12-31,25,1350,Y,N,,N,N,N
828779421RR0001,2021-12-31,25,3440,N,N,,N,Y,N
767305675RR0001,2021-12-31,25,2000,N,N,,Y,Y,N
850172586RR0001,2021-12-31,25,160000,Y,N,,N,N,N
119249357RR0001,2021-12-31,25,0,N,N,,N,N,N
867901910RR0001,2021-06-30,25,,,N,,N,Y,N
875223216RR0001,2021-12-31,25,,N,N,,N,Y,N
131196446RR0001,2021-12-31,25,6988,Y,N,,N,N,N
879550515RR0001,2021-12-31,25,,N,N,,N,N,N
850420183RR0001,2021-12-31,25,30214,Y,N,,N,N,N
860340561RR0001,2021-12-31,25,57313,N,N,,N,Y,Y
818501041RR0001,2021-09-30,25,520135,Y,N,,N,N,N
118807759RR0001,2021-12-31,25,24320,Y,N,,N,N,N
864561378RR0001,2021-12-31,25,15870,Y,N,,N,N,N
890163249RR0001,2021-12-31,25,10013,N,N,,N,N,N
816984678RR0001,2021-09-30,25,,Y,N,,N,Y,N
813175957RR0001,2021-09-30,25,1038841,Y,N,,N,N,N
119233054RR0001,2021-12-31,25,3417,Y,N,,Y,Y,N
867922726RR0001,2021-09-30,25,421030,N,N,,Y,Y,N
814464848RR0001,2021-12-31,25,0,N,N,,N,N,N
803268317RR0001,2021-12-31,25,114412,N,N,,Y,Y,N
866239841RR0001,2021-12-31,25,219352,Y,N,,N,N,N
886412998RR0001,2021-09-30,25,219212,N,N,,Y,Y,N
842236630RR0001,2021-09-30,25,219211,Y,N,,N,N,N
890853799RR0001,2021-12-31,25,4640,Y,N,,Y,Y,N
827834078RR0001,2021-12-31,25,1774,N,N,,N,Y,N
118824747RR0001,2021-12-31,25,9881,Y,N,,N,N,N
131507428RR0001,2021-10-31,25,622739,Y,N,,N,Y,N
118896125RR0002,2021-12-31,25,3455,Y,N,,N,N,N
138351507RR0001,2021-12-31,25,89125,Y,N,,N,N,N
840327886RR0001,2021-10-31,25,2416,Y,N,,N,Y,N
890768740RR0001,2021-12-31,25,1584,Y,N,,N,N,N
891008690RR0001,2021-09-30,25,450456,Y,N,,N,Y,N
890308646RR0001,2021-09-30,25,225000,Y,N,,N,N,N
134768654RR0001,2021-12-31,25,422759,Y,N,,N,N,Y
129746087RR0001,2021-06-30,25,31418,Y,N,,Y,Y,N
107769598RR0001,2021-06-30,25,15776,N,N,,Y,Y,N
883371270RR0001,2021-12-31,25,880310,Y,N,,N,N,N
815441563RR0001,2021-12-31,25,78122,Y,N,,N,Y,N
850080557RR0001,2021-12-31,25,3045,Y,N,,N,N,N
