BN,FPE,Form ID,200,210,220,230,240,250,260
128882883RR0001,2021-01-31,25,2541215,Y,N,,N,N,N
889696944RR0001,2021-02-28,25,6196,N,N,,N,Y,N
107988511RR0001,2021-05-31,25,1025531,N,N,,N,Y,N
820593416RR0001,2021-03-31,25,500,N,N,,N,Y,N
108052432RR0001,2021-04-30,25,23887,Y,N,,N,N,N
855715710RR0001,2021-03-31,25,50389,N,N,,N,Y,N
889184891RR0001,2021-03-31,24,115564,N,N,,N,Y,N
895309748RR0001,2021-02-28,25,5559,Y,N,,N,N,N
852707652RR0001,2021-04-30,25,,N,N,,N,N,N
123917809RR0001,2021-06-30,25,31434,Y,N,,N,Y,N
107913337RR0001,2021-03-31,25,35881,Y,Y,35881,Y,Y,N
751696113RR0001,2021-05-31,25,13740,N,N,,N,Y,N
140092578RR0001,2021-01-31,25,71506,N,N,,N,Y,Y
821901352RR0001,2021-01-31,24,92418,N,N,,N,N,N
119278232RR0002,2021-03-31,25,,N,N,,N,N,N
893334367RR0001,2021-06-30,25,3500,Y,N,,N,N,N
119053411RR0001,2021-03-31,25,117950,N,N,,N,Y,N
890633845RR0001,2021-02-28,25,,N,N,,N,N,N
141110155RR0001,2021-03-31,25,545084,Y,N,,Y,N,N
129987970RR0001,2021-03-31,25,689793,Y,N,,Y,N,N
856060090RR0001,2021-01-31,25,84526,N,N,,N,Y,N
133275479RR0001,2021-01-31,25,567311,N,N,,Y,Y,N
132700857RR0001,2021-03-31,25,258118,N,N,,Y,Y,
890067770RR0001,2021-06-30,25,2748,Y,N,,N,N,N
824895197RR0001,2021-01-31,25,10687,N,N,,N,N,N
805046695RR0001,2021-04-30,24,16542,N,N,,N,N,N
118912732RR0001,2021-02-28,25,331146,N,N,,N,Y,N
806662805RR0001,2021-06-30,25,,N,N,,Y,Y,N
118830850RR0001,2021-03-31,25,6622584,Y,Y,6553600,Y,Y,N
789064136RR0001,2021-03-31,25,0,N,N,,N,N,N
813022373RR0001,2021-06-30,25,39660,Y,N,,N,N,N
867271280RR0001,2021-03-31,25,15515,,N,,N,Y,N
118948074RR0001,2021-03-31,25,95794,N,N,,N,Y,N
104198411RR0001,2021-03-31,25,7817,N,N,,N,N,N
800661845RR0001,2021-06-30,25,49883,N,N,,N,N,N
816196950RR0001,2021-06-30,25,57249,N,N,,N,N,N
890627672RR0001,2021-01-31,25,162867,Y,N,,N,Y,N
805486024RR0001,2021-03-31,25,113940,N,N,,N,Y,N
126074517RR0001,2021-03-31,23,70470,N,N,,N,N,N
848243606RR0001,2021-06-30,25,,Y,N,,N,Y,N
889006177RR0001,2021-03-31,25,,Y,N,,N,N,N
822816237RR0001,2021-02-28,25,5514,Y,N,,N,Y,N
832697478RR0001,2021-06-30,24,2300,N,N,,N,Y,N
873208664RR0001,2021-03-31,25,253584,Y,N,,N,Y,N
133165225RR0001,2021-03-31,25,13322177,N,Y,13010824,Y,N,N
853822138RR0001,2021-06-30,25,10115,Y,N,,N,N,N
848269247RR0001,2021-06-30,24,15364,Y,N,,N,Y,N
833444144RR0001,2021-04-30,25,55704,Y,N,,N,N,Y
889437422RR0001,2021-02-28,25,25309,N,N,,Y,N,N
890317589RR0001,2021-03-31,24,27680,N,N,,N,Y,N
850482795RR0001,2021-03-31,25,87841,N,N,,N,N,N
118829647RR0001,2021-02-28,25,1875209,Y,N,,Y,N,Y
878961218RR0001,2021-03-31,25,5820,Y,N,,N,N,N
890627995RR0001,2021-03-31,25,59826,N,N,,N,Y,N
813008067RR0001,2021-03-31,25,4569,N,N,,N,Y,N
852456284RR0001,2021-02-28,25,17061,N,N,,N,Y,N
829558782RR0001,2021-03-31,25,19923,N,N,,Y,Y,N
125014159RR0001,2021-02-28,25,31156,Y,N,,N,N,N
821855343RR0001,2021-05-31,25,2200,Y,N,,N,Y,N
133088641RR0001,2021-02-28,25,33161,N,N,,N,Y,N
119039980RR0001,2021-03-31,25,91727,N,N,,Y,Y,N
108083270RR0001,2021-03-31,25,1451620,Y,Y,781900,Y,N,N
131802720RR0001,2021-06-30,25,,N,N,,N,N,N
118872415RR0001,2021-03-31,25,,N,N,,N,Y,N
870080744RR0001,2021-06-30,25,290510,N,N,,Y,Y,N
862676897RR0001,2021-02-28,25,222608,Y,N,,N,N,Y
