BN,FPE,Form ID,100,110,120,130
118928043RR0001,2021-03-31,25,,,,
735144115RR0001,2021-01-31,25,,,,
888442449RR0001,2021-03-31,25,,,,
118785435RR0001,2021-01-31,25,,,,
119255701RR0001,2021-03-20,25,,,,
888066867RR0001,2021-01-31,25,,,,
868766775RR0001,2021-02-28,25,,,,
889307047RR0001,2021-01-31,25,,,,
132758418RR0001,2021-02-28,25,,,,
786834697RR0001,2021-01-31,24,N,N,N,N
866657935RR0001,2021-01-31,25,,,,
139138465RR0001,2021-03-31,24,,,,
882184377RR0001,2021-03-31,25,,,,
119256501RR0001,2021-03-20,24,N,N,N,N
860255694RR0001,2021-01-31,25,,,,
132104878RR0001,2021-01-31,25,,,,
119255685RR0001,2021-03-20,25,N,N,N,N
118809656RR0001,2021-01-31,25,,,,
842385940RR0001,2021-03-31,25,,,,
888454592RR0001,2021-02-28,25,,,,
854491511RR0001,2021-01-31,25,,,,
868620832RR0001,2021-03-31,25,,,,
855807186RR0001,2021-03-31,25,,,,
834449928RR0001,2021-03-20,25,N,N,N,N
889585444RR0001,2021-02-28,23,,,,
118977453RR0001,2021-03-31,25,,,,
888203437RR0001,2021-02-28,25,,,,
867290751RR0001,2021-01-31,25,N,N,N,N
860326321RR0001,2021-03-31,25,,,,
854053634RR0001,2021-03-31,25,,,,
119261550RR0001,2021-01-31,25,,,,
808899587RR0001,2021-03-31,25,,,,
899960165RR0001,2021-03-31,25,,,,
119094944RR0001,2021-03-31,24,,,,
119031813RR0001,2021-03-31,24,,,,
118827583RR0001,2021-03-31,25,,,,
119255289RR0001,2021-03-20,25,,,,
861178804RR0001,2021-02-28,25,,,,
119256436RR0001,2021-03-20,25,,,,
888759248RR0001,2021-01-31,25,,,,
132410671RR0305,2021-03-31,25,,,,
866153471RR0001,2021-03-31,25,,,,
849677091RR0001,2021-02-28,25,,,,
891264194RR0001,2021-04-30,25,,,,
120395512RR0001,2021-03-31,25,,,,
866144702RR0001,2021-01-31,24,,,,
